Nombre total de vélos,Adr_emplacement,latitude,longitude,geo_shape,geo_point_2d
14,12 RUE DE REUILLY Paris 12,48.86330344816599,2.340933166752126,"{""coordinates"": [2.3848954830128752, 48.84964919735225], ""type"": ""Point""}","48.84964919735225, 2.3848954830128752"
20,24 RUE CHALIGNY Paris 12,48.88240087009351,2.3053166205256868,"{""coordinates"": [2.384199482166808, 48.84963668296142], ""type"": ""Point""}","48.84963668296142, 2.384199482166808"
16,16 RUE EMILIO CASTELAR Paris 12,48.87966423469535,2.408795405019643,"{""coordinates"": [2.3768303401380404, 48.848921551120355], ""type"": ""Point""}","48.848921551120355, 2.3768303401380404"
8,2 RUE DE LA LANCETTE Paris 12,48.85237112672265,2.329076883393757,"{""coordinates"": [2.391751571958336, 48.83745316071583], ""type"": ""Point""}","48.83745316071583, 2.391751571958336"
3,20 RUE ROTTEMBOURG Paris 12,48.87375330145706,2.34794735273845,"{""coordinates"": [2.4056076373722184, 48.83818783293293], ""type"": ""Point""}","48.83818783293293, 2.4056076373722184"
4,10 RUE EMILE GILBERT Paris 12,48.89403609880737,2.3978656071659348,"{""coordinates"": [2.373157441137328, 48.8467208324348], ""type"": ""Point""}","48.8467208324348, 2.373157441137328"
4,14 RUE ANTOINE-JULIEN HENARD Paris 12,48.892391720641044,2.3423935398766904,"{""coordinates"": [2.3895558564508934, 48.84205383307516], ""type"": ""Point""}","48.84205383307516, 2.3895558564508934"
6,257 RUE DE BERCY Paris 12,48.8680546949637,2.28091961635726,"{""coordinates"": [2.3677910855188014, 48.847934787354895], ""type"": ""Point""}","48.847934787354895, 2.3677910855188014"
10,72 AV DU GENERAL MICHEL BIZOT Paris 12,48.83595440393059,2.3305743195285755,"{""coordinates"": [2.4026353853894493, 48.83593043135981], ""type"": ""Point""}","48.83593043135981, 2.4026353853894493"
4,20 RUE CHARLES BAUDELAIRE Paris 12,48.86831599943949,2.394884631346441,"{""coordinates"": [2.3770419022133513, 48.84988092250729], ""type"": ""Point""}","48.84988092250729, 2.3770419022133513"
5,3 RUE DE COTTE Paris 12,48.83377657405409,2.398299835276633,"{""coordinates"": [2.377001466515781, 48.84845392767513], ""type"": ""Point""}","48.84845392767513, 2.377001466515781"
6,7 RUE GERTY ARCHIMEDE Paris 12,48.86834416806345,2.308766509658087,"{""coordinates"": [2.3880857592811613, 48.83566873156173], ""type"": ""Point""}","48.83566873156173, 2.3880857592811613"
8,115 AV DAUMESNIL Paris 12,48.895407218739344,2.361815021141289,"{""coordinates"": [2.380488137542051, 48.84485632307255], ""type"": ""Point""}","48.84485632307255, 2.380488137542051"
24,72 RUE DE CHARENTON Paris 12,48.85983090950802,2.302697628765239,"{""coordinates"": [2.37493802838372, 48.849022345614976], ""type"": ""Point""}","48.849022345614976, 2.37493802838372"
5,21 BD PONIATOWSKI Paris 12,48.89534083208773,2.341866391325691,"{""coordinates"": [2.3986767056750304, 48.83228700846517], ""type"": ""Point""}","48.83228700846517, 2.3986767056750304"
4,109 RUE DE REUILLY Paris 12,48.869956883907015,2.2938817282018036,"{""coordinates"": [2.3927590398216636, 48.84222097529678], ""type"": ""Point""}","48.84222097529678, 2.3927590398216636"
16,14 RUE TRAVERSIERE Paris 12,48.84962010901789,2.3920287906806705,"{""coordinates"": [2.3709727157549803, 48.84591386123363], ""type"": ""Point""}","48.84591386123363, 2.3709727157549803"
4,43 RUE BARON LE ROY Paris 12,48.8366426752949,2.398276589688368,"{""coordinates"": [2.388894813350635, 48.834007795315884], ""type"": ""Point""}","48.834007795315884, 2.388894813350635"
5,35 RUE DE TOUL Paris 12,48.885549145196705,2.3784399600413506,"{""coordinates"": [2.402427699089129, 48.84020805018902], ""type"": ""Point""}","48.84020805018902, 2.402427699089129"
12,28 RUE BISCORNET Paris 12,48.835248809369034,2.329669410674609,"{""coordinates"": [2.3694109369547234, 48.85146861488047], ""type"": ""Point""}","48.85146861488047, 2.3694109369547234"
5,4 RUE PLEYEL Paris 12,48.84063009949454,2.2590100273453886,"{""coordinates"": [2.390678631912205, 48.84005974698955], ""type"": ""Point""}","48.84005974698955, 2.390678631912205"
32,30 RUE MARSOULAN Paris 12,48.83185500095271,2.328175229287036,"{""coordinates"": [2.403418973666926, 48.847272513913154], ""type"": ""Point""}","48.847272513913154, 2.403418973666926"
4,1 AV VINCENT D'INDY Paris 12,48.86024728035796,2.30961546012039,"{""coordinates"": [2.4114464082054656, 48.842446212996286], ""type"": ""Point""}","48.842446212996286, 2.4114464082054656"
4,11 RUE HECTOR MALOT Paris 12,48.859643091279196,2.371694533025837,"{""coordinates"": [2.3761371816522856, 48.846280643108436], ""type"": ""Point""}","48.846280643108436, 2.3761371816522856"
24,24 RUE BECCARIA Paris 12,48.88790018839633,2.373100440300098,"{""coordinates"": [2.3787247900252995, 48.84829305822667], ""type"": ""Point""}","48.84829305822667, 2.3787247900252995"
10,16 BD DE LA BASTILLE Paris 12,48.89259988076338,2.35037291881989,"{""coordinates"": [2.3675260906603306, 48.84790915900063], ""type"": ""Point""}","48.84790915900063, 2.3675260906603306"
8,54 BD DE PICPUS Paris 12,48.88140252668306,2.344062392168733,"{""coordinates"": [2.401917363470838, 48.843676627988735], ""type"": ""Point""}","48.843676627988735, 2.401917363470838"
12,2 RUE DE LA VEGA Paris 12,48.88064397123924,2.364511947807913,"{""coordinates"": [2.4042680579763345, 48.83667975787984], ""type"": ""Point""}","48.83667975787984, 2.4042680579763345"
2,36 RUE DE PICPUS Paris 12,48.851948759702985,2.344124525988565,"{""coordinates"": [2.3955475022514947, 48.84498696922104], ""type"": ""Point""}","48.84498696922104, 2.3955475022514947"
8,5 PL D' ALIGRE Paris 12,48.89427689628162,2.3272009647229743,"{""coordinates"": [2.378115109592355, 48.849195375889614], ""type"": ""Point""}","48.849195375889614, 2.378115109592355"
20,10 RUE DE PRAGUE Paris 12,48.877590743616835,2.362214250480127,"{""coordinates"": [2.3756938650877695, 48.85048924684845], ""type"": ""Point""}","48.85048924684845, 2.3756938650877695"
36,170 RUE DE CHARENTON Paris 12,48.828083636425816,2.3456067806883762,"{""coordinates"": [2.383788148913455, 48.84448461347612], ""type"": ""Point""}","48.84448461347612, 2.383788148913455"
9,8 RUE PAUL BELMONDO Paris 12,48.83872905576166,2.4078115034109984,"{""coordinates"": [2.384396009250506, 48.83501735665598], ""type"": ""Point""}","48.83501735665598, 2.384396009250506"
