Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,4,14,25 RUE OLIVIER NOYER Paris 14,48.8799260526287,2.32966139893087
2 ROUES,Vélos,5,1,17 RUE D' ARGENTEUIL Paris 1,48.867043184354436,2.340500584242571
2 ROUES,Vélos,6,3,50 RUE DE SEVIGNE Paris 3,48.87856805415566,2.3759976827102687
2 ROUES,Vélos,4,18,44 AV DE CLICHY Paris 18,48.8548246620733,2.3044370711584325
2 ROUES,Vélos,7,18,45 RUE LAMARCK Paris 18,48.82548670985409,2.32419342886138
2 ROUES,Vélos,12,18,21 RUE MARX DORMOY Paris 18,48.836217355945465,2.4416054056185192
2 ROUES,Vélos,10,4,19 PL DES VOSGES Paris 4,48.86140820475548,2.3428884109153727
2 ROUES,Vélos,4,18,61 RUE MARX DORMOY Paris 18,48.869347323436486,2.3012063479487703
2 ROUES,Vélos,20,17,1 BD DE LA SOMME Paris 17,48.834638109834295,2.336708342771668
2 ROUES,Vélos,7,18,59 RUE DE LA CHAPELLE Paris 18,48.83389685450534,2.3374466021474
2 ROUES,Vélos,8,13,54 RUE BOBILLOT Paris 13,48.88501973313874,2.355371021819798
2 ROUES,Vélos,10,9,11 RUE HIPPOLYTE LEBAS Paris 9,48.863051127064445,2.387765223792746
2 ROUES,Vélos,10,4,1 RUE FRANCOIS MIRON Paris 4,48.86093547287865,2.3447454032623
2 ROUES,Vélos,10,7,1 AV DE BRETEUIL Paris 7,48.83248724084758,2.322180800890867
2 ROUES,Vélos,7,7,31 RUE LAS CASES Paris 7,48.84638843973132,2.367947894548582
2 ROUES,Vélos,10,18,144 AV DE SAINT-OUEN Paris 18,48.84657719405933,2.3677042960515755
2 ROUES,Vélos,10,17,43 AV DE SAINT-OUEN Paris 17,48.86439169562099,2.3656133680680855
2 ROUES,Vélos,6,18,1 VLA SAINT-MICHEL Paris 18,48.86652279766214,2.3380012833987496
2 ROUES,Vélos,8,11,24 RUE JULES VALLES Paris 11,48.847737517630264,2.3710399136380804
2 ROUES,Vélos,54,10,11 RUE D' ALSACE Paris 10,48.87541701115812,2.304201555668131
2 ROUES,Vélos,14,13,25 RUE DU CHAMP DE L'ALOUETTE Paris 13,48.83818480963271,2.34582280948058
2 ROUES,Vélos,5,11,12 RUE PACHE Paris 11,48.84586639706246,2.3821704109242825
2 ROUES,Vélos,8,11,14 RUE BREGUET Paris 11,48.829139583793705,2.419953556121257
2 ROUES,Vélos,10,20,1 RUE DU PRESSOIR Paris 20,48.851253645069136,2.2502247771595214
2 ROUES,Vélos,10,20,1 RUE FRANCIS PICABIA Paris 20,48.83806401761789,2.439042283346537
2 ROUES,Vélos,8,17,34 RUE BAYEN Paris 17,48.828420847573284,2.4525879191592437
2 ROUES,Vélos,2,5,88 RUE CLAUDE BERNARD Paris 5,48.87368126618918,2.264156270512649
2 ROUES,Vélos,2,5,62 RUE CLAUDE BERNARD Paris 5,48.8733907818968,2.2642440602283465
2 ROUES,Vélos,8,17,22 RUE GUERSANT Paris 17,48.86649718467773,2.310324248371016
2 ROUES,Vélos,5,15,37 RUE DES VOLONTAIRES Paris 15,48.84733840180716,2.2792928791539957
2 ROUES,Vélos,4,19,34 RUE D' AUBERVILLIERS Paris 19,48.83520277872363,2.28893462497695
2 ROUES,Vélos,10,20,116 BD DAVOUT Paris 20,48.86800156527988,2.3546699026992925
2 ROUES,Vélos,10,9,13 RUE MARGUERITE DE ROCHECHOUART Paris 9,48.866217522915164,2.3538430105226995
2 ROUES,Vélos,6,15,21 RUE D' ALLERAY Paris 15,48.86832115781826,2.3712109137151205
2 ROUES,Vélos,11,19,47 RUE FESSART Paris 19,48.855598227866054,2.3817845813684597
2 ROUES,Vélos,25,9,80 BD MARGUERITE DE ROCHECHOUART Paris 9,48.874264402748445,2.3979621348973397
2 ROUES,Vélos,4,12,20 RUE ABEL Paris 12,48.86576884945893,2.3309628436219185
2 ROUES,Vélos,8,17,12 RUE LEBON Paris 17,48.861858540018034,2.357062479830835
2 ROUES,Vélos,8,12,32 RUE DE LA LANCETTE Paris 12,48.830712160772386,2.3654172818324555
2 ROUES,Vélos,10,12,26 RUE DUGOMMIER Paris 12,48.88670638183827,2.3926592564351026
2 ROUES,Vélos,10,20,4 RUE DE LA BIDASSOA Paris 20,48.87181667071858,2.3416239284312512
2 ROUES,Vélos,13,10,132 RUE DU FAUBOURG SAINT-DENIS Paris 10,48.87158806354735,2.341924129136029
2 ROUES,Vélos,7,12,135 BD DIDEROT Paris 12,48.847230000860186,2.309876685614815
2 ROUES,Vélos,26,6,3 RUE DU PONT DE LODI Paris 6,48.843496619045084,2.3416794903574947
2 ROUES,Vélos,8,7,85 AV BOSQUET Paris 7,48.84546042188926,2.2906707664204466
2 ROUES,Vélos,4,15,24 RUE GEORGES PITARD Paris 15,48.87450365097824,2.338166288078012
2 ROUES,Vélos,10,16,59 BD MURAT Paris 16,48.8294676148676,2.3599183782243323
